Code,Name,Title
ABAL,Customer Account Balance,
ABUS,About Us,
ACAD,Customer Create,
ACED,Customer Edit,
ACLN,Customer Account,
ACRT,Customer Password Reset,
ACRW,Customer Rewards,
AFAD,Affiliate Create,
AFCL,Affiliate Login,
AFED,Affiliate Edit,
AFFR,Affiliate Password Reset,
AFPW,Affiliate Forgot Password,
AFRT,Affiliate Temporary Password,
ALP,Affirm FAQ,
AMAZONPAY_OCST,Amazon Pay - OCST,
AMAZONPAY_OPAY,Amazon Pay - OPAY,
AMAZONPAY_OSEL,Amazon Pay - OSEL,
authorized-resellers,Authorized Resellers,
BASK,Basket Contents,
black_friday,Black Friday Redirect,
BSKE,Checkout: Basket Empty,
CABK,Address Book,
CACT,Create Customer Account,
CADA,Add New Address,
CADE,Edit Address,
careers,Application,
CEML,Change Email Address,
CGFM,Download A Catalog Form,
core-returns,Core Returns,
CPCA,Add New Payment Method,
CPCD,Payment,
CPCE,Edit Payment Method,
CPRO,Customer Profile,
CPWD,Change Password,
CSBE,Edit Subscription,
CSTR,Password Reset,
CSUB,Subscriptions,
CTFM,Contact Form,
CTGY,Category Display,
CTGY_BRANDS,Brand Landing Page,
CTLG,Download A Catalog,
CTUS,Contact Us,
customer-reviews,Customer Reviews,
DLFM,Dealer Application Form,
DLRQ,Dealer Application,
EMAIL_ABANDONED_BASKET,Abandoned Basket,
EMAIL_BACKORDER_NOTICE,Backorder Notice,
EMAIL_CUSTOMER_CREATED,Customer Created,
EMAIL_DIGITALDOWNLOAD_CREATED,Digital Download Created,
EMAIL_GIFTCERTIFICATE_CREATED,Gift Certificate Created,
EMAIL_ORDERCONF_CUSTOMER,Order Confirmation: Customer,
EMAIL_ORDERCONF_MERCHANT,Order Confirmation: Merchant,
EMAIL_PAYMENTCARD_EXPIRING,Payment Card Expiring,
EMAIL_RETURN_RECEIVED,Return Received,
EMAIL_RMA_ISSUED,RMA Issued,
EMAIL_SHIPMENT_SHIPPED,Shipment Shipped,
EMAIL_SUBSCRIPTION_AUTH_FAILURE,Subscription Authorization Failure,
EMAIL_SUBSCRIPTION_CANCELLED,Subscription Cancelled,
EMAIL_SUBSCRIPTION_CHANGED,Subscription Changed,
EMAIL_SUBSCRIPTION_CREATED,Subscription Created,
EMAIL_SUBSCRIPTION_OUTOFSTOCK,Subscription Out of Stock,
EMAIL_SUBSCRIPTION_REMINDER,Subscription Reminder,
ESUP,Email Sign Up Page,
FAQS,Frequently Asked Questions,
feed_data_sa_products,Shopper Approved: Product Feed,
feed_data_zinrelo_orders,Zinrelo Orders Feed,
FPWD,Forgot Password,
generic_page_template,Generic Page Template,
genuine-sinister-parts,Identifying Genuine Sinister Parts,
GFTL,Redeem Gift Certificate,
GSU,Giveaway Sign Up,
help-center,Help Center,
help-online-account-issues,Online Account Issues,
help-order-status,Check Order Status,
help-sales-inquiry,Sales Inquiry,
help-sinister-tech-support,Sinister Diesel Parts Tech Support,
help-tracking,Tracking,
help-warranty-inquiry,Warranty Inquiry,
help_returns_exchanges,Returns / Exchanges,
install-instructions,Install Instructions,
INVC,Invoice,
jobapplication,Job Application,
listrak_customers_feed,Listrak: Customers Feed,
listrak_orders_feed,Listrak: Orders Feed,
listrak_products_feed,Listrak: Products Feed,
LOGN,Customer Log In,
merchandise,Merchandise,
MNTN,Maintenance Mode,
mobile-tos,Mobile Terms of Service,
not-suing-over-blue,Sinister Diesel is not suing over blue,
NTFD,Not Found,
OCST,Checkout: Customer Information,
OMIN,Checkout: Minimum Purchase Required,
OPAY,Checkout: Payment Information,
OPRC,Order Already Processed,
ORDER_INVOICE,Printable Invoice,
ORDH,Order History List,
ORDL,Order: Customer Login,
ORDS,Order Status,
ORHL,Lookup Order History,
OSEL,Checkout: Shipping/Payment Selection,
OUS1,Checkout: Upsell Product (Single),
OUSM,Checkout: Upsell Product (Multiple),
PATR,Missing Product Attributes,
PLMT,Product Limited Stock,
PLST,Product List,
policies-terms-conditions,"Policies, Terms & Conditions",
POUT,Product Sold Out,
PPRS,PayPal Express Checkout Return Screen,
PROD,Product Display,
PRPO,Privacy Policy,
purchase-terms,Purchase Terms & Conditions,
race-parts-notice,Race Parts Notice,
RGFT,Redeem Gift Certificate,
RMFM,RMA Request Form,
RMRQ,RMA Request,
RSFM,Become A Reseller Form,
RSRQ,Become A Reseller,
sale-policies,Sale Policies,
SARP,Return & Warranty Policies,
searchspring-feed,Searchspring Feed,
SERT,Shipping Estimate Rates,
set-email-preferences,Set Email Preferences,
SFNT,Storefront,
SFNT_TEST,Test Instance of SFNT,
SHIPMENT_PICKLIST,Shipment Picklist,
shipping-policies,Shipping Policies,
sinister-notice,Sinister Notice,
SMAP,Site Map,
SMLP,Social Media Landing Page,
sponsorapp,Sponsor Application,
SRCH,Search,
SSFM,Sponsorship Application Form,
TEMPLATEFEED_extend-feed,Extend Product Feed,
TEMPLATEFEED_Google_Shopping,Google Shopping,
TEMPLATEFEED_variants_to_master,Update Dynamic Custom Fields,
UATM,Upsell: Missing Product Attributes (Multiple),
UATR,Upsell: Missing Product Attributes (Single),
UNDL,Undelete kit,
videos,Sinister Diesel Videos,
videos-community,Sinister Diesel - Community Videos,
videos-installation,Sinister Diesel - Installation Videos,
videos-manufacturing,Sinister Diesel - Manufacturing Videos,
vip-club,Blue Parts Club,
WARF,Warranty Form,
WARR,Warranty Information,
website-terms,Website Terms of Use,
WISH,Wish List,
WLAD,Add A Wish List,
WLED,Edit Wish List,
WLGN,Wish List: Customer Login,
WLST,Wish Lists,
WPCK,Choose Wish List,
